branch_id,neutralized,trials,successes,rate,wilson_low,wilson_high,p_value,status
baseline,,40,25,0.625000,0.470322,0.757772,,baseline
no-bytecode_cache,bytecode_cache,16,9,0.562500,0.331782,0.769016,0.5,live
no-hash_randomization,hash_randomization,40,40,1.000000,0.912375,1.000000,0.0012235817575083426,cause
no-locale,locale,16,13,0.812500,0.569906,0.934085,0.06752591446212378,live
no-malloc_allocator,malloc_allocator,16,12,0.750000,0.505012,0.898181,0.13668488336476922,live
no-timezone,timezone,16,11,0.687500,0.444039,0.858356,0.23627379858457867,live
