branch_id,neutralized,trials,successes,rate,wilson_low,wilson_high,p_value,status
baseline,,48,25,0.520833,0.383290,0.655289,,baseline
no-hash_randomization,hash_randomization,16,10,0.625000,0.386406,0.815190,0.6420064161467653,dropped for futility
no-locale,locale,16,7,0.437500,0.230984,0.668218,0.9221932610378455,dropped for futility
no-malloc_allocator,malloc_allocator,16,6,0.375000,0.184810,0.613594,0.9622012606333739,dropped for futility
no-test_order_shuffle,test_order_shuffle,48,48,1.000000,0.925897,1.000000,0.00029985341531183363,cause
no-timezone,timezone,16,9,0.562500,0.331782,0.769016,0.7637262014154214,dropped for futility
